step,exp,algorithm_name,game_name,log_exp
0,27.81675537109375,AutoCFR4,subgame3,3.325638550329572
1,27.81675537109375,AutoCFR4,subgame3,3.325638550329572
2,19.495907592773438,AutoCFR4,subgame3,2.9702045765072733
3,9.939306945800782,AutoCFR4,subgame3,2.2964972944751714
4,7.124676513671875,AutoCFR4,subgame3,1.9635643235341185
5,5.129219055175781,AutoCFR4,subgame3,1.6349534166344828
6,3.038726119995117,AutoCFR4,subgame3,1.1114383881212644
7,2.2136095428466795,AutoCFR4,subgame3,0.7946244604890025
8,1.9636167907714843,AutoCFR4,subgame3,0.6747880741794012
9,1.7090467071533204,AutoCFR4,subgame3,0.5359357338672609
10,1.5003822326660157,AutoCFR4,subgame3,0.40571989742395353
11,1.405095901489258,AutoCFR4,subgame3,0.34010555774401446
12,1.5039075469970704,AutoCFR4,subgame3,0.4080667522266811
13,1.4365226745605468,AutoCFR4,subgame3,0.3622253839005517
14,1.4045146560668946,AutoCFR4,subgame3,0.33969180258560494
15,1.2009225463867188,AutoCFR4,subgame3,0.18309005008292845
16,1.0798934173583985,AutoCFR4,subgame3,0.07686234863507116
17,1.0301677703857421,AutoCFR4,subgame3,0.029721672847059795
18,1.0013140106201173,AutoCFR4,subgame3,0.0013131480636852369
19,0.9648501586914062,AutoCFR4,subgame3,-0.03578246566716693
20,0.8951809120178222,AutoCFR4,subgame3,-0.1107294448013153
21,0.8820382308959961,AutoCFR4,subgame3,-0.1255198782276725
22,0.8553570938110352,AutoCFR4,subgame3,-0.15623624365819844
23,0.7932657432556153,AutoCFR4,subgame3,-0.2315970021912016
24,0.8117216110229493,AutoCFR4,subgame3,-0.20859784117254782
25,0.849949951171875,AutoCFR4,subgame3,-0.16257781220559223
26,0.7496975326538086,AutoCFR4,subgame3,-0.28808544358990285
27,0.6992996406555175,AutoCFR4,subgame3,-0.35767595813557174
28,0.6560805892944336,AutoCFR4,subgame3,-0.42147164804923654
29,0.6188019752502442,AutoCFR4,subgame3,-0.4799699682226384
30,0.5936306381225586,AutoCFR4,subgame3,-0.5214979743730593
31,0.634133472442627,AutoCFR4,subgame3,-0.4554958223445982
32,0.6098474884033203,AutoCFR4,subgame3,-0.4945463720856939
33,0.603736400604248,AutoCFR4,subgame3,-0.5046175991481358
34,0.5989237976074219,AutoCFR4,subgame3,-0.512620904973652
35,0.5776684951782226,AutoCFR4,subgame3,-0.5487551125993919
36,0.5537228393554687,AutoCFR4,subgame3,-0.5910910073937143
37,0.5328352165222168,AutoCFR4,subgame3,-0.6295430648640404
38,0.5131013870239258,AutoCFR4,subgame3,-0.667281817814473
39,0.4922871780395508,AutoCFR4,subgame3,-0.7086930375712752
40,0.4900906372070313,AutoCFR4,subgame3,-0.7131649310911252
41,0.47649751663208006,AutoCFR4,subgame3,-0.7412927675864978
42,0.46144378662109375,AutoCFR4,subgame3,-0.7733950382629403
43,0.4425333881378174,AutoCFR4,subgame3,-0.8152393639618225
44,0.42214384078979494,AutoCFR4,subgame3,-0.8624091680718566
45,0.3995217323303223,AutoCFR4,subgame3,-0.917487116431034
46,0.3843365097045898,AutoCFR4,subgame3,-0.956236782789347
47,0.37025550842285154,AutoCFR4,subgame3,-0.9935619483679873
48,0.35504785537719724,AutoCFR4,subgame3,-1.035502694712519
49,0.3398501491546631,AutoCFR4,subgame3,-1.0792504963057754
50,0.3276249504089355,AutoCFR4,subgame3,-1.1158857687039028
51,0.3173481750488281,AutoCFR4,subgame3,-1.1477557638407156
52,0.3060476398468018,AutoCFR4,subgame3,-1.1840145033736666
53,0.2956996726989746,AutoCFR4,subgame3,-1.2184109589928516
54,0.28618407249450684,AutoCFR4,subgame3,-1.2511200650697993
55,0.27680732727050783,AutoCFR4,subgame3,-1.284433584235992
56,0.267651309967041,AutoCFR4,subgame3,-1.3180702278261567
57,0.25930971145629883,AutoCFR4,subgame3,-1.3497321345499604
58,0.25101868629455565,AutoCFR4,subgame3,-1.3822278952327545
59,0.24271340370178224,AutoCFR4,subgame3,-1.4158739403259317
60,0.23544107437133788,AutoCFR4,subgame3,-1.4462946118183597
61,0.22916755676269532,AutoCFR4,subgame3,-1.4733018540616656
62,0.22306660652160645,AutoCFR4,subgame3,-1.500284868165798
63,0.21675671577453615,AutoCFR4,subgame3,-1.5289796798359143
64,0.21062175750732423,AutoCFR4,subgame3,-1.5576913726179893
65,0.20428072929382324,AutoCFR4,subgame3,-1.5882601071394404
66,0.19831825256347657,AutoCFR4,subgame3,-1.61788220249069
67,0.1927175521850586,AutoCFR4,subgame3,-1.6465296221620658
68,0.18809857368469238,AutoCFR4,subgame3,-1.670789125454075
69,0.1835080051422119,AutoCFR4,subgame3,-1.6954969876858454
70,0.1798686218261719,AutoCFR4,subgame3,-1.715528573326585
71,0.17617219924926758,AutoCFR4,subgame3,-1.7362933574446302
72,0.17480096817016602,AutoCFR4,subgame3,-1.7441072770451138
73,0.17107294082641603,AutoCFR4,subgame3,-1.7656652588875585
74,0.1711575222015381,AutoCFR4,subgame3,-1.7651709640425242
75,0.1683925724029541,AutoCFR4,subgame3,-1.7814572850174661
76,0.1687189245223999,AutoCFR4,subgame3,-1.7795211171657421
77,0.16663048267364503,AutoCFR4,subgame3,-1.7919765967566608
78,0.16527730464935303,AutoCFR4,subgame3,-1.800130581528432
79,0.1643550157546997,AutoCFR4,subgame3,-1.80572646059893
80,0.1621616554260254,AutoCFR4,subgame3,-1.8191615682938953
81,0.15970926284790038,AutoCFR4,subgame3,-1.8344002238909074
82,0.15780444622039794,AutoCFR4,subgame3,-1.8463986946656732
83,0.15599764347076417,AutoCFR4,subgame3,-1.857914377803336
84,0.15387590408325194,AutoCFR4,subgame3,-1.871608819055287
85,0.1512405300140381,AutoCFR4,subgame3,-1.8888837955088007
86,0.1486966848373413,AutoCFR4,subgame3,-1.9058467200662217
87,0.1462860584259033,AutoCFR4,subgame3,-1.922191269919941
88,0.14416576862335206,AutoCFR4,subgame3,-1.9367914704998965
89,0.14175426959991455,AutoCFR4,subgame3,-1.953660216193575
90,0.13958183765411378,AutoCFR4,subgame3,-1.9691041998821917
91,0.13720687866210937,AutoCFR4,subgame3,-1.9862654289259152
92,0.1348324251174927,AutoCFR4,subgame3,-2.0037225670149845
93,0.1331946563720703,AutoCFR4,subgame3,-2.0159436390073693
94,0.13072404861450196,AutoCFR4,subgame3,-2.0346666766968893
95,0.12812829971313477,AutoCFR4,subgame3,-2.0547231755624766
96,0.12633302688598633,AutoCFR4,subgame3,-2.0688337882753562
97,0.12410454273223877,AutoCFR4,subgame3,-2.0866309820246256
98,0.121830415725708,AutoCFR4,subgame3,-2.1051252362789685
99,0.12003912448883057,AutoCFR4,subgame3,-2.119937551931815
100,0.11848846912384033,AutoCFR4,subgame3,-2.1329396301133934
101,0.11693359375,AutoCFR4,subgame3,-2.1461490801022474
102,0.11570982933044434,AutoCFR4,subgame3,-2.1566696930716933
103,0.11495089054107666,AutoCFR4,subgame3,-2.1632502805991574
104,0.11364642143249512,AutoCFR4,subgame3,-2.174663216794859
105,0.11251024723052978,AutoCFR4,subgame3,-2.184710974992187
106,0.11235589027404785,AutoCFR4,subgame3,-2.186083853829696
107,0.11113457918167115,AutoCFR4,subgame3,-2.197013387003427
108,0.11030410289764404,AutoCFR4,subgame3,-2.2045141557930616
109,0.11007576465606689,AutoCFR4,subgame3,-2.2065863806820323
110,0.10841696739196777,AutoCFR4,subgame3,-2.221770676469309
111,0.1072368335723877,AutoCFR4,subgame3,-2.232715492603935
112,0.10714695692062377,AutoCFR4,subgame3,-2.2335539576466767
113,0.10524530410766601,AutoCFR4,subgame3,-2.2514614239692365
114,0.10455103397369385,AutoCFR4,subgame3,-2.2580799634032283
115,0.10374329566955566,AutoCFR4,subgame3,-2.2658357420117703
116,0.10263128995895386,AutoCFR4,subgame3,-2.2766124223793014
117,0.10175191402435303,AutoCFR4,subgame3,-2.2852176437862055
118,0.10120378494262695,AutoCFR4,subgame3,-2.290619122209314
119,0.09871935367584228,AutoCFR4,subgame3,-2.3154742658902285
120,0.09782720804214477,AutoCFR4,subgame3,-2.3245525397921174
121,0.09772085666656494,AutoCFR4,subgame3,-2.3256402660881976
122,0.09482780933380126,AutoCFR4,subgame3,-2.3556925653361307
123,0.09345213413238525,AutoCFR4,subgame3,-2.3703059081836484
124,0.09321575880050659,AutoCFR4,subgame3,-2.3728384857416462
125,0.09029839992523193,AutoCFR4,subgame3,-2.40463553825958
126,0.08907723903656006,AutoCFR4,subgame3,-2.418251431274467
127,0.08715961217880248,AutoCFR4,subgame3,-2.440014218447484
128,0.08526967525482178,AutoCFR4,subgame3,-2.4619363946695603
129,0.08425454139709472,AutoCFR4,subgame3,-2.473912807379342
130,0.08384934663772584,AutoCFR4,subgame3,-2.47873358277994
131,0.08194931507110596,AutoCFR4,subgame3,-2.501654331714889
132,0.08069379806518555,AutoCFR4,subgame3,-2.5170935583920007
133,0.08022559881210327,AutoCFR4,subgame3,-2.5229126278557277
134,0.07837120056152344,AutoCFR4,subgame3,-2.5462987588880446
135,0.07733905792236329,AutoCFR4,subgame3,-2.5595561738654955
136,0.07717090606689453,AutoCFR4,subgame3,-2.5617327574011126
137,0.07464149951934815,AutoCFR4,subgame3,-2.5950586326214293
138,0.07360146284103393,AutoCFR4,subgame3,-2.6090903778872967
139,0.07301436185836792,AutoCFR4,subgame3,-2.6170991193982243
140,0.07113638639450073,AutoCFR4,subgame3,-2.6431563094435564
141,0.0699041247367859,AutoCFR4,subgame3,-2.660630622373386
142,0.0707061767578125,AutoCFR4,subgame3,-2.649222344155852
143,0.06745989084243774,AutoCFR4,subgame3,-2.6962220674578914
144,0.06486577749252319,AutoCFR4,subgame3,-2.7354351057129023
145,0.06635453224182129,AutoCFR4,subgame3,-2.7127432124460613
146,0.06363066673278808,AutoCFR4,subgame3,-2.754659743514978
147,0.060796351432800294,AutoCFR4,subgame3,-2.80022550113959
148,0.0629404878616333,AutoCFR4,subgame3,-2.765565636158356
149,0.06015764474868775,AutoCFR4,subgame3,-2.8107867498960255
150,0.057270259857177735,AutoCFR4,subgame3,-2.8599738151817804
151,0.057138264179229736,AutoCFR4,subgame3,-2.862281261023341
152,0.05756253957748413,AutoCFR4,subgame3,-2.8548832774101203
153,0.055162172317504886,AutoCFR4,subgame3,-2.897477844716739
154,0.053832151889801026,AutoCFR4,subgame3,-2.9218843715478453
155,0.055515820980072024,AutoCFR4,subgame3,-2.8910872361484006
156,0.05341718435287476,AutoCFR4,subgame3,-2.929622780422955
157,0.05122063875198364,AutoCFR4,subgame3,-2.9716127275352244
158,0.05204322576522827,AutoCFR4,subgame3,-2.9556806409939465
159,0.05109135150909424,AutoCFR4,subgame3,-2.974140042493639
160,0.05006128072738648,AutoCFR4,subgame3,-2.994507409458657
161,0.05051155090332031,AutoCFR4,subgame3,-2.9855532380968968
162,0.049714863300323486,AutoCFR4,subgame3,-3.0014513302205104
163,0.049015169143676755,AutoCFR4,subgame3,-3.0156254544190157
164,0.04933365106582641,AutoCFR4,subgame3,-3.0091488533833632
165,0.0486372447013855,AutoCFR4,subgame3,-3.0233656896929926
166,0.04813044786453247,AutoCFR4,subgame3,-3.033840290401199
167,0.048517725467681884,AutoCFR4,subgame3,-3.0258260742474423
168,0.0478779673576355,AutoCFR4,subgame3,-3.0390998520415597
169,0.04779940843582153,AutoCFR4,subgame3,-3.0407420153809412
170,0.047940826416015624,AutoCFR4,subgame3,-3.0377878115759698
171,0.047593376636505126,AutoCFR4,subgame3,-3.0450616737184153
172,0.04751056432723999,AutoCFR4,subgame3,-3.0468031857810245
173,0.04792619466781616,AutoCFR4,subgame3,-3.038093062498501
174,0.047140443325042726,AutoCFR4,subgame3,-3.054623977083865
175,0.047667543888092044,AutoCFR4,subgame3,-3.0435045343129907
176,0.04725310802459717,AutoCFR4,subgame3,-3.05223684890733
177,0.04758344650268555,AutoCFR4,subgame3,-3.0452703407768036
