step,exp,algorithm_name,game_name,log_exp
0,4.157665252685547,AutoCFR4,bigleduc,1.4249536793853412
20,0.2260400801897049,AutoCFR4,bigleduc,-1.4870429494616435
40,0.039551347494125366,AutoCFR4,bigleduc,-3.230155514700942
60,0.019763000775128603,AutoCFR4,bigleduc,-3.923943737102639
80,0.011667245998978615,AutoCFR4,bigleduc,-4.450969850338394
100,0.006656670942902565,AutoCFR4,bigleduc,-5.012135777823746
120,0.0051085196901112795,AutoCFR4,bigleduc,-5.276845605558061
140,0.0039619660237804055,AutoCFR4,bigleduc,-5.531014906264909
160,0.0027330562006682158,AutoCFR4,bigleduc,-5.902334808519786
180,0.002129272441379726,AutoCFR4,bigleduc,-6.151974934428482
200,0.0019477177411317825,AutoCFR4,bigleduc,-6.241096981009941
220,0.0013849700335413218,AutoCFR4,bigleduc,-6.582076776009165
240,0.0013633814523927867,AutoCFR4,bigleduc,-6.597787303064762
260,0.001125894719734788,AutoCFR4,bigleduc,-6.78917725298341
280,0.0011533168726600707,AutoCFR4,bigleduc,-6.765113250942518
300,0.0010225802543573081,AutoCFR4,bigleduc,-6.885426184758362
320,0.000903769483556971,AutoCFR4,bigleduc,-7.00893622615442
340,0.0009827978792600334,AutoCFR4,bigleduc,-6.925107075174652
360,0.000811404170235619,AutoCFR4,bigleduc,-7.116744267649282
380,0.0006205948884598911,AutoCFR4,bigleduc,-7.384832042432688
400,0.0005768619012087584,AutoCFR4,bigleduc,-7.457907659428644
420,0.0005908319726586342,AutoCFR4,bigleduc,-7.433978891204267
440,0.0005510768678504974,AutoCFR4,bigleduc,-7.50363625246067
460,0.0006329324096441269,AutoCFR4,bigleduc,-7.36514691933464
480,0.0006891461089253426,AutoCFR4,bigleduc,-7.280057250033857
500,0.000578070932533592,AutoCFR4,bigleduc,-7.455813976175106
520,0.0005688398669008166,AutoCFR4,bigleduc,-7.471911592443322
540,0.0005620062875095755,AutoCFR4,bigleduc,-7.483997520393707
560,0.000554932514205575,AutoCFR4,bigleduc,-7.496664047637227
580,0.0005859497759956867,AutoCFR4,bigleduc,-7.442276478552275
600,0.0005669811507686973,AutoCFR4,bigleduc,-7.475184498583294
620,0.0005630668601952493,AutoCFR4,bigleduc,-7.482112179868091
640,0.000572309858398512,AutoCFR4,bigleduc,-7.465830002769726
660,0.0005954645166639239,AutoCFR4,bigleduc,-7.426168756731085
680,0.0005706935189664364,AutoCFR4,bigleduc,-7.468658236774099
700,0.0005300008633639663,AutoCFR4,bigleduc,-7.542631922430818
720,0.0005558076081797481,AutoCFR4,bigleduc,-7.4950883520490414
740,0.0005569364875555038,AutoCFR4,bigleduc,-7.493059350471109
760,0.0004989631997887045,AutoCFR4,bigleduc,-7.602978212850695
780,0.00047274792450480163,AutoCFR4,bigleduc,-7.656948240694886
800,0.0004885605012532324,AutoCFR4,bigleduc,-7.624047243069013
820,0.0005053504137322307,AutoCFR4,bigleduc,-7.590258480739613
840,0.0004753327229991555,AutoCFR4,bigleduc,-7.651495529671964
