step,exp,algorithm_name,game_name,log_exp
0,4.157665252685547,CFR,bigleduc,1.4249536793853412
20,0.7798568904399872,CFR,bigleduc,-0.24864484992676358
40,0.3704594075679779,CFR,bigleduc,-0.993011401468297
60,0.22973130643367767,CFR,bigleduc,-1.4708448858719678
80,0.14583329111337662,CFR,bigleduc,-1.9252911513608941
100,0.11950650811195374,CFR,bigleduc,-2.124384447905631
120,0.10320407524704933,CFR,bigleduc,-2.2710469378863407
140,0.08600780367851257,CFR,bigleduc,-2.453317246397474
160,0.07598330080509186,CFR,bigleduc,-2.577241689087946
180,0.06884528324007988,CFR,bigleduc,-2.675893563923593
200,0.062055015936493874,CFR,bigleduc,-2.7797339335882794
220,0.05580366775393486,CFR,bigleduc,-2.8859156813977616
240,0.05251741595566273,CFR,bigleduc,-2.9466104319068016
260,0.04634379595518112,CFR,bigleduc,-3.071667848028917
280,0.04411085695028305,CFR,bigleduc,-3.1210493374801396
300,0.04015897214412689,CFR,bigleduc,-3.2149093979469408
320,0.03759011998772621,CFR,bigleduc,-3.2810140293992744
340,0.03408638760447502,CFR,bigleduc,-3.378857164875001
360,0.03214707970619202,CFR,bigleduc,-3.437433665824049
380,0.03026592545211315,CFR,bigleduc,-3.4977327718104982
400,0.02845458686351776,CFR,bigleduc,-3.559445905974016
420,0.027376126497983932,CFR,bigleduc,-3.59808394108085
440,0.026193606667220592,CFR,bigleduc,-3.642239918327984
460,0.02528078854084015,CFR,bigleduc,-3.67771051790988
480,0.02447070274502039,CFR,bigleduc,-3.710278683304032
500,0.02442039456218481,CFR,bigleduc,-3.7123366530924815
520,0.022592443972826004,CFR,bigleduc,-3.7901397660927096
540,0.02152409590780735,CFR,bigleduc,-3.8385822315106193
560,0.021972347050905228,CFR,bigleduc,-3.8179705684824476
580,0.020995285362005234,CFR,bigleduc,-3.863457373035266
600,0.020287998020648956,CFR,bigleduc,-3.8977257982899762
620,0.019566860049962997,CFR,bigleduc,-3.9339179575619863
640,0.018268337473273277,CFR,bigleduc,-4.002585910364215
660,0.017944014631211758,CFR,bigleduc,-4.020498666382721
680,0.017621347680687904,CFR,bigleduc,-4.038644175548378
700,0.01694008708000183,CFR,bigleduc,-4.078072449275465
720,0.016690319404006004,CFR,bigleduc,-4.092926404043578
740,0.01633528247475624,CFR,bigleduc,-4.11442794147034
760,0.016306942328810692,CFR,bigleduc,-4.116164352100243
780,0.016373276710510254,CFR,bigleduc,-4.112104742051648
800,0.016116617247462273,CFR,bigleduc,-4.127904412097179
820,0.015410151332616806,CFR,bigleduc,-4.172728809281927
840,0.014997027348726988,CFR,bigleduc,-4.199903274271068
860,0.014511249493807554,CFR,bigleduc,-4.232831103194789
880,0.013915213756263256,CFR,bigleduc,-4.27477252255107
900,0.013441730756312609,CFR,bigleduc,-4.309391175666762
920,0.013123154640197754,CFR,bigleduc,-4.333377079231469
940,0.013219824060797691,CFR,bigleduc,-4.326037753210115
