step,exp,algorithm_name,game_name,log_exp
0,4.94666051864624,AutoCFRS,bigleduc,1.5987127062090802
20,0.23784185200929642,AutoCFRS,bigleduc,-1.4361493135361316
40,0.11502822488546371,AutoCFRS,bigleduc,-2.1625777469461904
60,0.0759255588054657,AutoCFRS,bigleduc,-2.578001908110788
80,0.0529322475194931,AutoCFRS,bigleduc,-2.9387425319035265
100,0.04562748037278652,AutoCFRS,bigleduc,-3.0872451042221214
120,0.040198344737291336,AutoCFRS,bigleduc,-3.2139294598941737
140,0.03407180029898882,AutoCFRS,bigleduc,-3.3792852075257125
160,0.031135689467191696,AutoCFRS,bigleduc,-3.4694005464612268
180,0.030080106109380722,AutoCFRS,bigleduc,-3.5038912523342223
200,0.024945066310465336,AutoCFRS,bigleduc,-3.6910792194058692
220,0.024062463082373142,AutoCFRS,bigleduc,-3.727102201174349
240,0.021920209750533104,AutoCFRS,bigleduc,-3.8203462480369224
260,0.021360968239605427,AutoCFRS,bigleduc,-3.8461899363479546
280,0.018831430468708277,AutoCFRS,bigleduc,-3.9722279716621767
300,0.018613786436617374,AutoCFRS,bigleduc,-3.9838527665509362
320,0.01996132079511881,AutoCFRS,bigleduc,-3.913958838187955
340,0.016619582194834948,AutoCFRS,bigleduc,-4.097173628569076
360,0.017792902886867523,AutoCFRS,bigleduc,-4.028955615412673
380,0.015387210994958878,AutoCFRS,bigleduc,-4.1742185694540295
400,0.014066449366509914,AutoCFRS,bigleduc,-4.2639627946060426
420,0.013758423272520304,AutoCFRS,bigleduc,-4.286104040795503
440,0.013522809371352196,AutoCFRS,bigleduc,-4.30337743621438
460,0.012468204833567142,AutoCFRS,bigleduc,-4.3845734884690435
480,0.011970183346420527,AutoCFRS,bigleduc,-4.425336442368281
500,0.01259697275236249,AutoCFRS,bigleduc,-4.3742987516402305
520,0.012230748776346445,AutoCFRS,bigleduc,-4.403802106599031
540,0.012238068040460348,AutoCFRS,bigleduc,-4.4032038541876455
560,0.011954532004892826,AutoCFRS,bigleduc,-4.426644825229321
580,0.011604658793658018,AutoCFRS,bigleduc,-4.456348641354668
600,0.011502251494675875,AutoCFRS,bigleduc,-4.4652124806300275
620,0.010271464940160513,AutoCFRS,bigleduc,-4.578385622550048
640,0.010678055696189404,AutoCFRS,bigleduc,-4.539564512941963
660,0.010526580968871713,AutoCFRS,bigleduc,-4.553851699875042
680,0.011362198274582624,AutoCFRS,bigleduc,-4.477463374323295
700,0.011927024461328983,AutoCFRS,bigleduc,-4.428948490467193
720,0.009266462177038193,AutoCFRS,bigleduc,-4.681353614423235
740,0.009121824987232685,AutoCFRS,bigleduc,-4.697085386665684
760,0.0092625105753541,AutoCFRS,bigleduc,-4.681780146621949
780,0.009327143430709839,AutoCFRS,bigleduc,-4.6748264813445175
800,0.008452300215139985,AutoCFRS,bigleduc,-4.773316659847318
820,0.008928295923396945,AutoCFRS,bigleduc,-4.718529728350711
840,0.008720530662685633,AutoCFRS,bigleduc,-4.742075187100316
860,0.008404643274843693,AutoCFRS,bigleduc,-4.778970955039653
880,0.00831835437566042,AutoCFRS,bigleduc,-4.789290835099285
900,0.008431479334831238,AutoCFRS,bigleduc,-4.775783037805121
920,0.010218734852969646,AutoCFRS,bigleduc,-4.583532493163909
940,0.009697885252535343,AutoCFRS,bigleduc,-4.635847432444111
960,0.008645893773064017,AutoCFRS,bigleduc,-4.750670779064311
980,0.00824697408825159,AutoCFRS,bigleduc,-4.797908923096375
1000,0.00884197000414133,AutoCFRS,bigleduc,-4.728245576013004
1020,0.009298091288655996,AutoCFRS,bigleduc,-4.677946137666007
1040,0.009133768500760198,AutoCFRS,bigleduc,-4.695776909322626
1060,0.008817558642476797,AutoCFRS,bigleduc,-4.731010245184173
1080,0.007855994859710336,AutoCFRS,bigleduc,-4.846478362244044
1100,0.009244023356586695,AutoCFRS,bigleduc,-4.683778059897871
1120,0.008055455517023802,AutoCFRS,bigleduc,-4.8214057131111945
1140,0.007543867453932762,AutoCFRS,bigleduc,-4.887020303538527
1160,0.007513165473937988,AutoCFRS,bigleduc,-4.891098400822622
1180,0.007781307911500335,AutoCFRS,bigleduc,-4.85603084290304
1200,0.006231054663658142,AutoCFRS,bigleduc,-5.0782096726037524
1220,0.00617684843018651,AutoCFRS,bigleduc,-5.086947100340758
1240,0.006637214217334986,AutoCFRS,bigleduc,-5.015062949109747
1260,0.006940832361578941,AutoCFRS,bigleduc,-4.9703335748283335
1280,0.006385192973539233,AutoCFRS,bigleduc,-5.053773567003793
1300,0.005912106949836016,AutoCFRS,bigleduc,-5.1307530052028385
1320,0.005787861533463001,AutoCFRS,bigleduc,-5.15199239353586
1340,0.005930396728217602,AutoCFRS,bigleduc,-5.127664166318665
1360,0.006747550331056118,AutoCFRS,bigleduc,-4.998575753884504
1380,0.006521246396005154,AutoCFRS,bigleduc,-5.032689756281816
1400,0.005988074466586113,AutoCFRS,bigleduc,-5.117985376532457
1420,0.00597834587097168,AutoCFRS,bigleduc,-5.11961135948866
1440,0.006026281043887138,AutoCFRS,bigleduc,-5.111625200814087
1460,0.005908035207539797,AutoCFRS,bigleduc,-5.13144195503154
1480,0.005840463796630502,AutoCFRS,bigleduc,-5.142945068064132
1500,0.006433437578380108,AutoCFRS,bigleduc,-5.046246267977407
1520,0.00651661935262382,AutoCFRS,bigleduc,-5.033399541712162
1540,0.005465073511004448,AutoCFRS,bigleduc,-5.209377706208156
1560,0.005353810265660286,AutoCFRS,bigleduc,-5.229946772378875
1580,0.00531123043037951,AutoCFRS,bigleduc,-5.2379317511022645
